trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
4503599629230187,3377699722387434,5,11:10:00,11:10:00,,0,0
4503599629230187,3377699722387436,6,11:13:00,11:13:00,,0,0
4503599629230187,3377699722387438,7,11:14:00,11:14:00,,0,0
4503599629230187,3377699722387440,8,11:15:00,11:15:00,,0,0
4503599629230189,3377699721872148,0,12:00:00,12:00:00,,0,0
4503599629230189,3377699720882962,1,12:02:00,12:02:00,,0,0
4503599629230189,3377699720880668,2,12:03:00,12:03:00,,0,0
4503599629230189,3377699722387430,3,12:06:00,12:06:00,,0,0
4503599629230189,3377699722387432,4,12:07:00,12:07:00,,0,0
4503599629230189,3377699722387434,5,12:10:00,12:10:00,,0,0
4503599629230189,3377699722387436,6,12:13:00,12:13:00,,0,0
4503599629230189,3377699722387438,7,12:14:00,12:14:00,,0,0
4503599629230189,3377699722387440,8,12:15:00,12:15:00,,0,0
4503599629230191,3377699721872148,0,13:00:00,13:00:00,,0,0
4503599629230191,3377699720882962,1,13:02:00,13:02:00,,0,0
4503599629230191,3377699720880668,2,13:03:00,13:03:00,,0,0
4503599629230191,3377699722387430,3,13:06:00,13:06:00,,0,0
4503599629230191,3377699722387432,4,13:07:00,13:07:00,,0,0
4503599629230191,3377699722387434,5,13:10:00,13:10:00,,0,0
4503599629230191,3377699722387436,6,13:13:00,13:13:00,,0,0
4503599629230191,3377699722387438,7,13:14:00,13:14:00,,0,0
4503599629230191,3377699722387440,8,13:15:00,13:15:00,,0,0
4503599629230193,3377699721872148,0,14:00:00,14:00:00,,0,0
4503599629230193,3377699720882962,1,14:02:00,14:02:00,,0,0
4503599629230193,3377699720880668,2,14:03:00,14:03:00,,0,0
4503599629230193,3377699722387430,3,14:06:00,14:06:00,,0,0
4503599629230193,3377699722387432,4,14:07:00,14:07:00,,0,0
