trip_id,service_id,route_id,trip_headsign,direction_id,shape_id
4503599629230145,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599629230147,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599629230149,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599629230151,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599629230153,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599629230155,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599629230177,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230185,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230187,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230189,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230191,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230193,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230195,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629230199,4503599629230145,11821949023707108,Glaci̬re Sesqui̬res TOULOUSE,1,4503599629230177
4503599629560004,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560006,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560008,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560010,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560012,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560016,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560018,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599629560036,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599629560038,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599629560040,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599629560042,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599629560044,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599629560048,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599629560050,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599630373526,4503599629560004,11821949023946612,Pech David TOULOUSE,1,4503599629560004
4503599630373528,4503599629560004,11821949023946612,Saint Agne - SNCF TOULOUSE,0,4503599629560036
4503599630772590,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772592,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772594,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772596,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772598,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772600,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772602,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772604,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
4503599630772606,4503599629230145,11821949023707108,Barri̬re de Paris TOULOUSE,0,4503599629230145
